,1,2,3,4,5,6,7,8,9,10,11,12
A,STDA,STDA,STDA,XCC3,XCC3,XCC3,YCB3,YCB3,YCB3,YNH3,YNH3,YNH3
B,STDB,STDB,STDB,XCH3,XCH3,XCH3,YCA3,YCA3,YCA3,YNV3,YNV3,YNV3
C,STDC,STDC,STDC,XCV3,XCV3,XCV3,XNC3,XNC3,XNC3,YNB3,YNB3,YNB3
D,STDD,STDD,STDD,XCB3,XCB3,XCB3,XNH3,XNH3,XNH3,YNA3,YNA3,YNA3
E,STDE,STDE,STDE,XCA3,XCA3,XCA3,XNV3,XNV3,XNV3,,,
F,STDF,STDF,STDF,YCC3,YCC3,YCC3,XNB3,XNB3,XNB3,,,
G,STDG,STDG,STDG,YCH3,YCH3,YCH3,XNA3,XNA3,XNA3,,,
H,STDH,STDH,STDH,YCV3,YCV3,YCV3,YNC3,YNC3,YNC3,XHA3,XHA3,XHA3
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,3.692,3.701,3.691,3.664,3.649,3.654,3.637,3.643,3.656
B,3.962,3.96,3.925,3.63,3.666,3.666,3.717,3.727,3.74,3.658,3.642,3.657
C,3.864,3.753,3.736,3.648,3.643,3.665,3.657,3.634,3.664,3.659,3.659,3.62
D,3.691,3.719,3.719,3.715,3.662,3.686,3.623,3.65,3.655,3.775,3.763,3.739
E,3.719,3.7,3.665,3.761,3.734,3.772,3.654,3.67,3.601,3.636,3.662,3.626
F,3.715,3.607,3.679,3.667,3.608,3.625,3.655,3.609,3.643,3.654,3.61,3.638
G,3.658,3.648,3.682,3.637,3.634,3.66,3.729,3.811,3.751,3.648,3.6,3.626
H,3.646,3.638,3.646,3.675,3.726,3.646,3.666,3.666,3.607,3.81,3.81,3.774
